time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.022381,72.02,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.901542,74.02,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.532902,76.06,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.165397,71.04,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.744172,72.03,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.386961,74.04,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.972404,69.05,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.65678,71.05,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.247732,72.05,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.846168,71.01,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.464943,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.048209,71.03,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.687234,72.06,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.994671,71.02,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.267347,71.02,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.599977,62.06,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.176145,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.506349,71.05,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.790748,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.805896,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.135488,71.05,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.420658,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.744467,71.05,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.023968,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.341224,71.04,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.647891,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.950204,71.03,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.251224,59.08,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.562812,71.05,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.870181,64.06,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.174694,71.04,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.46059,59.05,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.784376,71.07,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.086848,64.11,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.106893,69.06,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.370862,69.05,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.695102,59.06,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.711655,63.96,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.725896,69.03,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.333401,57.04,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.353447,62.06,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.367846,67.05,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.242653,67.06,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.254286,62.08,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.835057,67.08,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.848866,62.09,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.427619,65.05,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.43619,59.08,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.444172,59.09,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.037302,64.01,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.048798,59.1,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.051837,59.08,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
