time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.023059,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.036846,67.02,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.042651,71.89,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.30866,64.01,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.311585,67.11,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.322311,72.01,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.787708,71.59,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.791563,67.06,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.796279,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.225531,64.08,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.229363,67.09,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.367889,67.11,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.391631,64.07,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.525078,64.05,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.529635,67.09,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.699567,71.87,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.712424,67.07,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.7173,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.14383,63.95,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.148116,67.03,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.156824,72.0,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.759159,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.770134,66.96,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.770769,71.89,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.070066,64.08,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.083195,67.09,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.087368,71.93,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.219545,67.07,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.235304,72.01,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.244148,64.05,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.703762,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.7173,67.11,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.72383,72.03,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.862356,67.11,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.881223,72.01,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.023173,64.06,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.024102,67.1,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.039341,72.02,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.216325,71.98,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.227209,66.93,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.228456,64.0,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.646415,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.661631,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.671699,72.0,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.279068,63.94,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.283558,66.98,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.289363,71.89,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.734307,71.92,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.740746,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.744737,63.99,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.170656,67.09,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.171699,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.182175,72.01,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.318615,67.07,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.343195,71.99,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.466529,64.02,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.469454,67.09,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.484624,72.02,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.651449,71.92,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
