time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.005407,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.008309,68.05,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.015566,63.05,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.283049,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.30264,63.1,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.593933,68.02,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.720123,68.03,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.726994,63.02,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.736268,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.128128,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.130214,68.04,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.140463,63.15,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.539488,68.02,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.54747,62.93,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.56264,56.19,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.797697,68.03,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.811416,63.04,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.829307,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.933003,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.954364,68.05,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.960804,62.94,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.102731,55.92,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.506042,56.04,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.519761,65.1,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.520191,68.02,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.77264,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.794409,65.11,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.797312,68.04,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.923502,67.97,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.926042,58.88,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
