time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.006125,59.99,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.010751,62.93,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.266851,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.273608,63.1,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.663359,66.97,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.669889,63.04,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.67413,59.97,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.028688,62.96,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.030864,67.04,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.392338,66.98,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.399799,62.75,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.630298,67.04,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.76574,62.87,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.778982,66.67,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.012248,59.22,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.022089,64.02,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.132316,64.01,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.136261,59.05,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.276239,57.18,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.283495,60.0,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.645808,60.18,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.653064,57.15,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.65803,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.012361,53.1,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.016941,57.03,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.02481,60.09,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.031137,64.74,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.421,56.98,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.422066,60.07,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.434901,52.94,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.65218,56.98,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.666216,60.08,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.789073,53.08,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.791431,57.01,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.794561,60.12,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.801046,64.64,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.942452,64.01,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.308325,57.94,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.312792,52.83,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.69676,61.73,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.70413,57.92,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.709821,52.76,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.945581,53.13,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.063517,57.94,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.442746,61.55,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.449663,57.88,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.456034,52.42,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.683449,61.65,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.694243,58.01,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.701613,52.79,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.80447,57.85,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.806034,52.98,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.824152,61.9,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.290592,57.76,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.291386,50.98,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.301771,62.6,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.677146,62.86,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.683563,58.04,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.688642,51.02,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.058914,51.13,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.063903,62.91,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.064719,57.94,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.0754,66.85,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.430774,63.0,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.443858,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.452542,51.01,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.70032,67.14,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.711635,63.01,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.091749,60.94,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.33769,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.33998,51.91,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.347123,61.04,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.354243,63.99,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.70735,63.88,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.718347,60.97,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.726216,56.94,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.733155,51.9,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.092678,51.8,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.092678,57.04,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.099096,60.97,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.108121,63.66,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.476125,63.83,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.484719,60.94,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.718325,64.04,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.73066,61.04,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.737395,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.745059,52.01,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.749413,45.24,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.849459,51.81,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.849572,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.852678,57.1,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.859005,64.04,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.346873,56.92,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.350955,50.04,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.356919,61.91,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.633223,65.68,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.730388,66.01,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.744356,61.91,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.754175,56.7,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.757078,50.01,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.09388,61.98,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.095218,56.96,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.4754,66.04,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.489436,56.94,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.490275,61.92,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.997372,55.12,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.100706,49.63,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.106873,55.17,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.108438,57.95,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.361998,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
