time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.005468,57.14,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.05261,60.99,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.062044,63.99,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.31642,60.98,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.32803,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.335286,68.97,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.770547,68.78,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.798846,64.01,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.801749,60.96,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.206329,57.03,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.213132,60.99,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.221567,63.9,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.226397,68.81,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.675694,63.98,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.686125,68.73,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.700366,60.94,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.701771,56.84,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.979912,68.94,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.98744,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.992248,61.04,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.995263,57.11,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.128121,64.09,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.129322,61.04,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.13583,68.93,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.299753,60.69,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.750298,63.97,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.752429,59.12,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.762452,68.01,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.228461,67.96,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.233994,63.86,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.234991,59.1,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.668982,59.09,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.670434,63.88,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.681137,67.95,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.142225,67.65,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.151953,63.24,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.306873,68.08,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.580388,58.98,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.605354,67.95,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.19481,61.08,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.20676,66.01,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.215468,69.07,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.215966,73.05,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.310456,55.02,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.493676,61.13,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.50701,66.04,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.517486,69.08,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.518688,73.04,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
