time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.006093,47.04,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.008269,53.98,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.348451,66.14,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.35217,63.13,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.606818,46.98,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.621716,53.94,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.625662,59.17,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.785344,66.17,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.794052,63.15,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.199222,66.1,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.202124,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.48768,53.94,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.522034,59.11,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.667952,66.11,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.670129,63.09,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.928746,53.97,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.038337,59.15,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.124346,66.1,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.129312,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.365344,46.62,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.408156,53.95,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.678927,66.1,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.680378,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.996047,53.94,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.001966,59.13,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.139063,66.1,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.144755,64.0,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.255027,53.94,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.297839,59.11,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.604777,66.1,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.609857,63.06,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.91836,54.01,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.922623,59.12,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.086569,66.12,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.091036,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.374074,53.93,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.377476,59.15,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.51548,66.1,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.518496,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.80285,59.15,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.810673,51.95,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.086047,68.1,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.091127,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.396546,59.16,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.40285,51.99,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.565571,68.09,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.570015,64.02,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.714074,52.04,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.996863,68.11,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.001013,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.297907,51.96,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.334732,59.12,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.471285,68.09,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.477816,64.01,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.786977,52.0,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.837362,59.11,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.923326,68.1,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.924687,64.05,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.171059,47.03,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.422351,59.11,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.474392,66.07,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.477929,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.795344,47.04,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.835208,59.16,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.83548,53.95,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.964596,66.96,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.968337,63.74,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.408859,66.1,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.411761,63.11,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.6826,47.03,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.717272,53.91,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.723689,59.13,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.859539,66.13,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.860265,63.19,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.171399,47.04,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.213371,53.93,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.213712,59.11,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.306591,66.11,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.311671,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.596954,53.91,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.602124,61.07,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.875616,70.11,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.879335,66.05,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.215526,53.9,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.219834,61.16,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
