time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.006981,59.11,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.326913,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.327548,58.97,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.350292,65.95,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.352514,71.16,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.847752,66.09,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.85138,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.861539,58.98,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.258523,52.0,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.286755,59.11,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.608727,59.14,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.613988,61.94,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.641018,71.07,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.108297,67.99,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.11943,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.123784,59.16,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.463512,52.18,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.559022,45.13,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.581721,52.1,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.878206,60.91,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.881834,54.98,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.892174,63.76,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.907344,68.98,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.383761,69.06,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.401176,63.52,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.413739,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.420247,55.12,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.426074,52.02,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.743013,56.38,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.848161,56.35,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.156346,56.38,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.158682,61.82,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.171743,66.08,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.172764,71.21,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.681721,66.12,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.696959,57.05,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.989725,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.026369,51.08,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.115712,43.98,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.138773,51.06,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.448977,54.04,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.449952,59.96,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.461562,62.72,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.469884,67.95,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.963308,68.04,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.975825,62.86,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.991063,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.996369,54.11,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.000768,50.06,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.323829,55.62,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.411471,48.95,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.431879,56.25,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.733149,56.01,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.735326,58.89,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.74782,65.2,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.253829,65.1,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.273716,55.87,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.572832,59.06,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.687979,42.07,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.709521,48.76,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.005371,54.15,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
