time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.004421,63.1,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.176326,63.07,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.301768,61.99,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.600747,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.772629,65.06,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.025555,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.188752,58.26,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.514081,58.28,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.052924,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.32501,60.16,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.742902,63.01,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.924965,65.02,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.188366,67.06,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.351564,68.08,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.611088,67.03,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.794376,65.04,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.08526,63.01,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.259341,64.98,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.523219,66.89,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.683786,70.1,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.939115,65.04,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.369546,63.01,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.550158,63.23,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.787936,62.96,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.99365,70.14,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.270815,63.01,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.439818,62.95,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.687981,70.0,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.863695,75.04,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.13433,70.1,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.305849,62.99,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.561722,63.07,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.714625,70.13,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.010249,62.99,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.179251,62.99,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.44619,70.02,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.619001,75.02,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.874489,70.09,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.044013,62.98,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.325192,67.03,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.48331,68.08,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.739568,68.02,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.922811,72.01,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.206031,68.02,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.369908,74.03,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.635056,68.07,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.802403,75.13,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.076666,68.06,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.242698,74.1,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.522834,68.03,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.687595,72.0,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.937414,68.05,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.121632,70.14,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.401836,68.07,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.579523,68.03,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.847459,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.304217,68.09,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.454353,67.07,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.749273,67.2,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.907391,66.99,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.908298,65.0,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.185078,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.356575,64.99,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.587936,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.762743,68.08,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.074307,70.04,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.213899,75.01,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.457119,70.03,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.939591,70.07,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.100611,70.07,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.36789,68.04,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.541972,70.07,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.70662,71.55,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.905668,77.0,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.256779,77.0,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.531768,75.02,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.748548,74.04,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.92467,72.16,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.109636,70.06,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.113355,74.02,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.264194,74.04,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.428684,71.92,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.593332,70.08,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.768865,68.1,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.944376,67.09,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.085804,68.02,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.260974,65.01,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.422834,67.09,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.565146,65.04,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.735577,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.881337,65.01,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.047437,65.27,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.466235,64.5,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.14467,60.06,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.334693,63.0,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.472471,65.0,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.631314,65.02,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.751677,64.98,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.866258,66.8,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.062834,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.205713,65.23,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.661881,63.03,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.882607,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.003242,60.14,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.250543,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.513877,60.12,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.807301,60.15,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.951632,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.251496,58.15,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.395101,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.661859,60.08,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.860974,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.118639,60.13,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.281042,63.03,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.526824,65.04,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.706711,65.05,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.968434,65.04,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.138865,65.16,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.419205,65.04,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
