time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.02816,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.068681,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.178182,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.424305,60.11,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.05181,60.01,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.146799,62.06,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.684509,57.14,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.822015,59.98,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.088046,62.05,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.231629,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.484395,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.622241,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.852423,63.01,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.998908,64.06,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.250337,67.09,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.400473,67.12,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.65689,67.14,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.8063,67.19,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.095688,64.11,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.234826,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.468069,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.62689,62.07,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.737094,60.06,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.865869,57.15,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.008024,57.97,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.285643,55.28,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.838046,55.19,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.008477,57.18,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.446482,57.15,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.589316,60.01,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.839271,57.14,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.000359,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.385121,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.618613,69.05,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.021516,69.03,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.027139,64.06,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.414826,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.582377,64.06,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.849089,67.13,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.989067,69.01,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.402967,69.3,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.793556,69.07,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.06825,67.07,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.190087,67.03,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.479203,72.02,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.821697,74.03,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.979089,74.05,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.243693,74.04,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.406164,74.02,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.648885,72.03,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.798999,75.81,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.209203,75.93,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.860767,74.02,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.249089,72.02,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.423148,72.0,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.682015,74.01,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.83884,69.04,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.128749,69.2,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.847638,63.82,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.009747,67.06,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.172196,68.05,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.309271,69.04,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.436754,72.03,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.585439,69.11,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.736278,67.09,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.85884,69.35,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.245643,69.17,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.351516,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.498454,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.625257,67.03,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.880337,64.12,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.007253,62.05,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.246164,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.373806,62.94,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.660042,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.805076,62.08,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.07181,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.219702,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.351697,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.502513,57.24,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.630042,60.11,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.266164,57.17,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.395869,60.04,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.567049,63.08,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.698296,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.819407,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.0963,57.15,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.258046,55.15,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.487502,57.12,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.253375,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.415779,64.11,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.533284,57.12,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.69503,60.0,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.835733,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.097321,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.275756,60.01,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.384395,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.536708,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.646935,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.072309,62.07,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.213012,60.0,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.329498,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.459203,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.594804,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.833035,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.957774,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.091946,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.217411,62.16,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.382899,61.36,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
