time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.01034,50.13,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.011066,43.16,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.011791,55.18,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.013968,62.09,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.013968,67.04,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.014694,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.438821,42.98,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.649184,43.14,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.653741,55.18,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.658662,50.13,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.672608,58.03,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.679138,62.08,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.686054,67.05,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.074104,50.08,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.104036,43.09,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.283923,43.2,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.295397,55.18,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.298005,49.98,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.313152,58.04,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.322245,62.09,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.326757,67.04,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.437098,49.48,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.746576,48.17,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.755283,55.19,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.761088,60.06,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.133628,48.03,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.351247,48.1,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.35898,60.06,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.363515,55.17,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.379002,64.04,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.786304,48.03,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.998844,48.12,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.01059,54.84,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.020567,59.91,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.189297,39.97,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.413447,41.13,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.424036,48.21,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.430726,53.21,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.435805,57.04,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.444512,60.05,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.799819,40.37,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.010907,41.06,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.020998,48.14,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.029365,53.17,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.035329,57.03,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.044762,60.08,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.441701,48.06,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.468367,41.11,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.653311,41.12,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.66585,48.11,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.675533,53.1,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.682789,57.04,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.693673,60.11,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.835941,45.8,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.898889,39.96,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.099093,40.38,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.111655,46.15,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.121315,53.2,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.128889,58.06,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.136372,62.06,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
