time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.012628,64.17,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.587911,66.12,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.489725,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.790768,66.11,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.96485,64.01,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.081789,61.2,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.245712,59.1,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.411811,61.11,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.982945,64.12,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.906256,60.97,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.219204,64.02,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.375893,61.14,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.832038,64.06,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.435122,66.24,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.294963,60.56,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.596573,64.01,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.763399,66.04,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.917888,66.01,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.061494,66.02,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.226142,66.07,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.417639,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.550111,61.12,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.70324,65.98,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.845394,66.06,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.943285,66.05,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.125349,66.02,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.255893,66.0,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.42417,66.1,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.601879,64.06,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
