time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.00902,51.12,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.022331,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.732127,63.11,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.122399,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.165279,51.14,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.377229,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.398068,55.04,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.419383,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.878023,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.883805,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.121651,60.06,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.128181,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.59283,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.798045,55.07,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.798272,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.804576,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.037093,62.11,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.043374,55.04,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.258045,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.285664,60.05,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.521583,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.527365,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.736776,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.737456,51.07,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.224621,51.08,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.228045,54.68,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.469519,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.88088,63.11,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.889134,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.891787,51.09,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.116866,55.05,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.124803,51.07,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.129429,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.596503,51.09,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.633533,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.827297,60.04,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.857093,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.310336,55.05,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.501741,51.08,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.504689,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.525506,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.748839,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.788544,55.04,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.966639,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.982875,51.14,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.985551,55.05,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.145982,55.05,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.222921,50.07,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.489134,43.59,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.686435,39.95,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.919406,44.01,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.963442,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.160381,44.01,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.177342,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.178794,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
