time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.009158,43.86,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.012061,51.12,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.275507,44.02,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.425644,44.04,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.559816,43.97,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.561879,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.57138,56.23,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.598274,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.81163,44.04,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.956483,51.11,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.970473,44.03,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.068365,42.84,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.094283,50.22,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.204306,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.212492,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.348387,44.1,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.353716,56.08,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.355349,51.12,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.36773,59.99,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.444102,43.99,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.607299,42.83,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.608093,50.07,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.729907,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.768319,43.02,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.878546,43.21,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.890179,51.11,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.979136,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.996755,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.031585,44.03,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.147594,43.86,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.153376,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.155576,51.13,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.404374,43.06,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.66553,44.11,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.67163,56.09,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.673693,51.12,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.774283,43.97,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.915462,51.09,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.922242,44.07,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.04163,56.01,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.047458,51.11,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.073807,44.02,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.193467,43.92,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.20485,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.348455,51.15,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.451721,44.16,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.459612,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.466664,51.18,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.555417,44.1,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.110746,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.139907,51.14,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.247503,43.98,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.249385,51.17,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.263036,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.500814,43.31,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.751811,44.08,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.761086,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.763557,51.14,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.8468,43.89,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.992446,51.02,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.004192,44.0,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.021018,54.04,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.122061,59.11,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.154464,54.11,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.173195,43.99,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.17451,51.15,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.267458,44.07,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.283535,54.16,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.285462,51.16,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.388637,58.97,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.4068,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
