time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.009158,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.286551,56.08,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.779952,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.935167,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.095462,54.06,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.225258,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.500768,58.98,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.779272,60.99,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.160814,54.09,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.409362,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.186052,62.89,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.299181,62.9,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.45222,60.99,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.568954,60.94,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.727775,59.04,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.866301,58.98,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.999997,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.146505,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.265439,54.1,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.524147,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.128274,54.07,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.272605,54.08,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
