time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.006391,55.13,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.007094,48.13,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.007139,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.426754,48.12,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.431221,52.09,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.439067,55.12,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.439815,60.1,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.678477,60.1,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.68782,55.1,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.699361,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.853851,48.12,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.853851,52.1,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.858273,55.1,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.860541,60.12,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.222559,52.13,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.22401,55.1,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.225484,48.11,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.239203,60.09,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.473874,59.06,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.477706,50.08,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.6524,43.05,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.008863,43.11,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.008863,47.08,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.008999,49.98,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.026958,55.18,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.270382,55.08,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.300926,50.06,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.424894,43.01,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.425144,47.09,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.438001,50.09,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.811901,47.08,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
