time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.014916,53.11,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.046118,46.02,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.335914,53.11,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.375823,46.0,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.72224,53.12,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.740381,46.01,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.055596,46.03,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.066753,58.08,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.073737,53.15,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.740426,53.02,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.766549,45.98,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.081039,45.96,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.107161,53.14,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.126027,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.428159,53.14,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.462785,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.820902,56.22,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.844961,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.206617,51.02,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.524735,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.559837,58.17,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.879587,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.903057,51.01,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.253283,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.278499,63.06,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.594644,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.608227,51.01,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.937932,51.02,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.962014,58.22,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.981469,60.97,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.003238,65.07,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.332966,48.04,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.661968,47.95,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.684463,44.07,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.001832,50.95,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.014168,43.93,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.369293,51.12,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.372921,43.86,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.409088,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.72224,51.14,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.723692,43.96,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.739429,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.102762,43.85,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.425211,43.88,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.765098,44.06,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.770902,51.15,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.774054,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.096277,42.94,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.127478,47.99,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.132694,53.13,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.134009,57.95,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.311719,57.98,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.478952,49.04,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.844961,49.02,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.178317,43.26,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.186617,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.198635,49.09,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.206617,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.535528,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.566073,49.1,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.904395,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.915392,49.11,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.259587,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.275596,49.05,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.592966,43.36,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.611832,49.09,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.623011,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.637229,60.99,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.960426,48.02,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.059111,57.96,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.11419,53.1,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.124349,48.04,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.331515,43.0,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.69317,42.98,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.019633,53.09,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.020698,50.13,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.030857,58.99,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.356957,50.07,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.387433,42.93,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.715959,53.1,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.717887,50.1,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.728045,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.070812,42.99,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.072263,49.72,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.415256,53.1,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.416503,50.1,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.428113,59.0,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.749134,58.06,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.781787,48.01,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.794848,43.09,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.151356,55.1,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.159383,48.07,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.499995,48.05,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.865868,55.07,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.867456,48.05,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.205438,55.1,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.206617,59.96,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.284893,55.07,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.295188,59.96,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.30054,62.08,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.542898,59.2,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.648113,53.05,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.987048,53.09,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.345891,53.03,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.65478,65.07,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.041741,59.98,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.372195,48.04,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.405392,53.1,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.736027,68.05,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.09258,67.05,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.440744,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.753261,53.05,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.131946,53.11,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.457184,60.0,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.846617,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.182649,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.555438,53.13,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.910494,65.11,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.943692,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.236095,62.09,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.265438,67.06,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.63215,46.07,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.945188,46.0,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.305392,45.96,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.313102,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.324259,53.1,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.642354,53.18,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.686617,45.99,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.008363,46.02,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.016685,58.15,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.023601,53.13,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.359134,53.09,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.38961,46.03,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.708431,46.03,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.7302,53.19,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.750177,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.065732,42.93,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.44698,51.06,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.780336,51.0,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.13834,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.147048,63.0,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.159134,58.22,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.17478,65.12,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.479247,58.16,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.504349,51.06,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.844236,63.01,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.848839,58.22,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.862286,65.1,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.153306,65.12,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.183374,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.186277,58.24,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.515868,65.1,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.538272,58.17,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.569701,51.06,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.892172,51.01,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.901605,60.98,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.910585,58.23,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.922512,65.12,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.269043,44.05,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.60893,44.07,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.948816,43.97,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.965506,51.11,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.984077,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.312626,43.91,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.317705,50.97,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.681537,51.13,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
