time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.006766,54.07,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.894499,54.02,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.76688,55.95,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.998921,54.13,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.24976,52.11,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.619964,59.16,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.332027,65.95,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.225429,63.98,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.62688,66.01,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.063705,67.95,2,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.573569,61.07,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.335655,59.0,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.765859,66.02,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.068785,63.94,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.353705,65.96,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.660349,68.05,2,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.038649,59.07,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.634952,61.09,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.942231,61.16,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.233501,61.12,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.526562,59.1,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.745497,57.27,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.144884,57.08,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.079079,56.24,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.936812,54.2,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.253773,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.560327,54.15,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.875383,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.031642,54.17,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.269488,52.17,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.30112,56.09,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.603705,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.178694,54.14,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.473932,57.2,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.602299,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.868422,54.09,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.287968,59.09,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.766834,61.04,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.21917,52.13,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.222073,52.08,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.057469,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.260735,59.12,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.7618,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.586404,61.0,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.565497,59.13,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.221347,63.93,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.12137,65.84,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.988671,66.97,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.3662,65.95,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.969578,65.97,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.212027,64.0,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.833932,65.86,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.643093,67.78,2,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.561098,66.07,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.833297,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.434635,63.91,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.723932,61.06,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.038558,59.04,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.344227,63.92,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
36.606608,56.18,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
37.145995,56.05,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
37.200984,63.97,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
38.317243,52.06,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
38.660848,53.83,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
38.966132,54.44,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
38.977401,40.0,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
39.747152,54.09,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
40.618376,54.13,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
40.772141,56.12,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
41.088671,52.17,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
