time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.007496,49.0,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.288448,49.03,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.57643,49.04,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.858811,52.01,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.000965,52.09,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.390965,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.964571,53.99,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.556135,54.01,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.819264,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.102371,53.91,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.233097,59.12,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.242348,53.88,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.696883,58.08,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.240262,59.07,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.517292,60.98,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.785795,61.01,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.062824,59.08,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.340852,59.06,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.625183,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.156883,54.03,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.719242,49.1,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.004049,49.03,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.308629,49.06,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.596861,52.11,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.869831,52.06,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.142144,52.1,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.430376,52.08,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.707405,51.98,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.98253,51.07,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.160239,52.01,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.257405,45.62,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.390534,54.07,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.852824,52.11,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.118176,51.08,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.392258,49.01,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.671056,47.12,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.916067,45.03,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.25092,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.3938,52.1,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.488063,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.674253,54.07,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.09643,52.06,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.366883,51.08,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.656566,49.01,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.923391,59.14,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.218924,45.03,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.517133,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.059763,56.05,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.62067,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.749038,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.058629,53.99,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
