time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.04534,53.15,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.714115,56.09,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.165362,55.11,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.122029,51.14,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.781303,48.12,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.168786,48.09,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.423299,50.74,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.871349,46.12,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.482097,53.14,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.650419,51.22,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.602981,51.12,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.254161,58.05,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.920306,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.592891,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.279716,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.943095,55.05,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.37704,63.13,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.371984,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.787675,56.08,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.245748,55.05,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.440963,56.04,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.683752,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.822505,51.08,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.04534,51.15,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.439013,48.1,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.699535,48.14,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.428764,53.13,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.517131,56.09,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.529739,51.09,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.163276,53.11,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.600555,53.07,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.832324,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.274002,56.09,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.20153,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.862142,53.06,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.932483,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.944478,58.1,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.587925,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.747834,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.977312,58.1,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.389081,51.06,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.830873,58.15,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.278333,48.21,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.748628,48.11,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.984977,51.18,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.44187,50.71,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.705748,46.15,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.154047,46.1,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.399693,48.24,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.799648,49.52,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.087993,51.11,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.54051,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.769852,51.22,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.201009,51.08,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.435294,53.11,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.657993,53.03,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.894841,53.04,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.108582,53.12,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.305793,53.09,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.532006,53.11,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.766179,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.236473,55.11,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.6589,55.12,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.867789,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.110714,55.24,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.871371,58.14,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.525453,58.15,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.720578,60.06,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.983662,53.13,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
36.632188,53.08,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
36.889807,53.08,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
37.998469,48.15,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
38.254024,53.11,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
38.934569,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
39.619829,55.21,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
40.322959,51.15,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
40.741553,46.19,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
42.094297,46.13,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
42.332324,48.14,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
42.543662,48.13,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
42.75924,48.1,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
