time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.005107,62.13,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.005742,67.01,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.006468,59.08,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.010096,52.03,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.4403,67.02,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.446672,62.11,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.44674,52.04,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.449575,59.09,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.688191,45.08,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.927897,52.04,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.141933,67.06,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.146854,59.12,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.146854,62.11,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.54699,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.55191,61.17,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.555448,55.11,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.036037,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.045221,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.049484,55.11,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.0503,45.12,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.563838,45.07,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.756355,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.76064,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.762727,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.198577,63.96,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.206468,60.95,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.210028,55.04,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.445538,45.17,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.697624,50.07,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.707058,66.02,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.708418,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.713429,57.15,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.129189,50.08,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.140867,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.145221,66.06,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.146672,57.15,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.402885,45.08,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
