time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.008827,62.08,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.011503,59.22,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.012229,43.04,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.016038,54.09,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.483771,62.11,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.489031,59.17,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.49538,43.04,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.499689,54.09,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.015993,43.05,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.257285,62.1,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.262365,59.18,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.265449,54.14,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.038215,50.14,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.038941,60.18,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.042342,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.046696,53.97,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.51656,64.04,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.52758,60.16,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.532659,50.14,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.537671,54.01,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.030142,50.12,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.283771,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.291707,60.14,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.293657,54.11,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.843226,52.03,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.045494,52.07,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.054836,59.09,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.059417,67.06,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.06504,62.14,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.542274,62.11,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.543,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.550437,59.14,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.551888,52.05,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.057852,52.05,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.286197,67.0,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.295585,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.297195,59.14,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.858646,47.15,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.056265,47.18,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.068374,66.01,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.072161,62.16,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.078464,57.12,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.55309,47.11,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.566083,66.04,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.566764,62.2,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.572569,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.072569,47.1,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.298895,66.04,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.309235,62.14,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.312138,57.08,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.095517,48.09,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.102047,64.09,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.114337,55.19,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.578396,48.11,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.579848,64.11,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.584383,59.17,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.588737,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.065789,48.11,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.350687,59.18,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.357149,55.1,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.357149,64.06,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.070936,43.1,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.079598,62.02,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.087353,59.18,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.090437,54.13,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.607172,62.15,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.607966,43.01,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.615721,59.18,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.620233,54.08,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.108691,43.04,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.338827,62.1,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.348034,59.17,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.351095,54.14,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.101503,48.13,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.114292,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.115244,59.16,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.123,55.15,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.604088,48.14,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.611843,59.19,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.61402,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.617807,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.875403,45.12,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.118714,48.15,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.376151,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.380278,59.18,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.383907,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.566401,45.19,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.901934,49.47,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.115494,50.24,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.125086,64.06,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.130891,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.13665,53.98,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.638283,50.12,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.65182,64.01,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.656356,60.14,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.1486,50.12,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.387444,64.04,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.394247,60.13,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.398056,54.09,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.634723,49.98,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.17012,62.08,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.174473,59.16,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.175199,43.06,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.177149,54.12,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.636401,43.11,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.647966,62.11,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.650301,59.15,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.65538,54.11,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.165653,43.07,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.407172,62.1,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.416378,59.17,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.419462,54.14,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.152319,50.16,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.172047,60.13,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.174156,64.06,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.179077,53.93,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.644972,50.13,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.654405,63.99,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.654904,60.13,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.660664,54.0,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.153136,50.13,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.403294,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.411049,60.13,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.414859,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
