time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.811862,72.05,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.815332,72.06,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.035195,68.01,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.148302,68.98,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.465059,68.96,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.767917,65.06,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.527191,70.02,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.377962,64.9,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.802746,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.034697,66.1,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.311839,70.08,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.43803,64.06,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.441386,66.99,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.056216,63.06,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.023812,60.11,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.174674,62.08,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.48066,63.09,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.747304,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.01862,59.97,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.114311,62.08,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.360842,63.1,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.609436,59.89,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.852588,62.08,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.091023,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.207055,66.17,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.307826,68.86,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.461567,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.560161,72.03,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.711749,70.78,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.962656,69.06,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.964742,69.23,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.109799,66.05,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.582633,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.071295,57.96,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.346533,58.08,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.348483,58.02,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.6093,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.845717,57.91,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.993654,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.250048,57.95,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.508211,58.09,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.643087,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.892112,58.1,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.11286,60.15,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.373019,61.69,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.627554,64.97,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.884016,67.05,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.997849,64.11,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.037644,64.77,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.283517,62.0,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.559753,61.9,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.861227,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.111885,62.03,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.224266,63.0,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.424016,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.880161,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.214833,62.02,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.349005,62.99,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.541182,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.903109,58.13,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.168688,58.1,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
