time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.561176,74.03,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.698251,71.05,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.882877,67.97,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.029589,71.06,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.24104,67.95,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.778977,64.07,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.260473,59.0,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.45197,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.609362,62.11,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.799158,64.02,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.021675,68.07,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.186324,69.03,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.446664,69.06,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.830678,65.99,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.388886,66.0,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.343875,59.08,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.484578,61.09,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.603489,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.841539,63.07,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.006913,64.0,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.290405,65.01,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.556777,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.853966,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.981675,65.12,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.015666,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.895644,68.99,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.99426,67.92,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.11392,65.97,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.226029,63.54,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.38578,66.07,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.560315,63.52,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.72061,61.03,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.995666,60.86,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.235825,59.1,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.530496,57.11,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.639997,58.1,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.835916,54.02,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.89553,74.06,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.224238,73.06,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.414283,71.04,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.576324,67.02,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.743875,67.98,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.8968,63.93,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.086981,59.12,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.229634,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.405167,62.98,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.55748,64.08,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.692356,62.08,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.884555,61.12,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.037866,57.06,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.198138,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.395417,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.773761,54.08,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.006233,54.11,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.401539,62.14,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.623195,62.1,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.919,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.046256,59.09,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.172446,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.371925,62.11,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.571222,64.01,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.732968,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.050065,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.245734,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.543308,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.859725,69.19,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.221018,66.08,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.593399,61.05,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.827526,59.09,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.971857,60.9,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.317934,54.06,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.946188,52.05,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
