time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.064192,49.05,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.321766,49.06,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.590111,49.04,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.609612,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.646505,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.854963,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.935893,48.99,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.300587,49.1,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.305145,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.309385,59.06,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.600269,49.05,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.609136,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.64748,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.296437,49.07,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.305848,56.19,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.321086,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.61646,49.07,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.621993,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.658274,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.336437,49.07,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.36358,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.36358,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.655802,49.01,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.688387,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.988047,49.09,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.997843,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.002922,59.08,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.338954,49.07,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.343421,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.380428,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.656619,49.07,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.662197,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.948478,49.06,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.974646,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.993512,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.606301,49.06,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.610655,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.941607,49.06,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.95104,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.96265,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.278433,49.08,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.289317,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.600247,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.619839,59.02,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.966959,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.001789,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.645054,49.08,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.650859,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.689272,68.03,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.299634,49.05,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.344623,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.668455,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.700383,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.968637,49.05,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.002015,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.312628,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.329317,58.77,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.667004,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.677888,61.09,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.33222,40.08,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.351811,49.12,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.677163,42.03,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.696823,49.16,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.975757,42.04,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.984124,49.16,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
