time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.648052,76.11,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.867848,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.254106,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.902156,67.11,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.874038,67.09,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.07134,67.11,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.314083,67.16,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.52363,67.07,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.873902,69.06,2,14,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.085308,69.09,2,14,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.435693,72.05,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.847848,68.98,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.282814,76.03,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.687598,70.99,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.708006,72.01,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.919639,77.02,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.922564,70.99,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.532337,77.05,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.122836,76.01,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.501317,72.06,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.934922,76.04,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.150093,71.99,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.302836,71.55,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.537031,71.42,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.737235,70.97,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.941113,71.0,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.019412,71.89,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.181566,77.08,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.568755,77.1,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.754764,77.09,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.971997,77.11,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.142451,77.14,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.357394,76.16,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.170954,70.99,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.375852,67.05,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.579367,69.06,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.374854,66.97,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.809956,64.13,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.194718,67.0,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.373879,68.95,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.608437,70.48,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.009503,67.08,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.445875,69.11,2,14,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.063403,76.04,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.390297,72.03,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.499072,71.0,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.807689,74.99,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.921544,75.94,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.224265,70.98,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.667938,72.0,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.903925,77.03,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.285693,77.06,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.500229,71.93,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.510478,71.1,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.734265,76.02,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.175535,72.02,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.535331,70.97,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.734083,69.99,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.10821,72.05,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.509367,77.06,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.748278,71.97,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.150795,69.93,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.31617,70.87,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.52651,74.06,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.730297,70.99,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.115195,67.01,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
