time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
1.126841,74.01,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.274074,72.08,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.562079,70.07,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.92217,69.02,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.336705,65.0,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.411059,62.05,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.696024,70.03,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.153485,69.05,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.154052,69.08,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.423666,67.06,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.919653,64.99,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.919993,65.04,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.632487,60.26,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.927521,62.05,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.319199,63.7,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.319675,64.02,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.595639,64.99,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.032374,69.07,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.254052,72.05,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.692102,69.09,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.414777,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.667476,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.103077,75.03,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.854483,74.04,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.60895,72.05,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.366319,70.02,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.078428,68.0,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.754596,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.167748,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.440106,53.09,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.866365,56.08,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.171353,55.1,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.62158,63.22,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.738428,62.11,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.90743,63.1,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.084415,63.11,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.462442,65.13,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.743598,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.89836,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.079698,58.03,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.287997,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.596387,65.01,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.039063,67.02,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.349993,68.93,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.825458,72.06,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.492238,75.05,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.905888,74.16,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.561421,72.09,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.555276,77.01,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.786659,77.02,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.466093,77.03,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.155027,77.01,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.448972,68.94,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.923666,77.02,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.22938,76.04,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.642464,74.05,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.921467,72.0,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.359063,68.97,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.663326,70.01,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.07031,75.03,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.360492,69.96,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.050242,70.07,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.489154,66.98,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.746659,63.11,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
36.504755,62.1,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
36.920741,62.08,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
37.221376,65.05,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
37.657385,70.04,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
39.298632,67.02,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
39.736932,75.03,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
40.060514,74.06,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
40.463848,72.03,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
41.48251,63.09,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
42.15285,62.05,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
43.380197,65.07,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
43.632782,68.02,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
43.834619,68.95,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
44.095616,72.0,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
44.335163,75.08,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
44.966138,67.98,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
45.080718,68.94,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
45.452963,65.08,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
