time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.530222,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.759497,60.14,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.030562,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.297773,63.11,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.648771,62.11,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.557456,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.088703,62.13,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.458363,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.569293,62.11,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.685302,63.1,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.423238,58.05,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.684621,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.497116,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.809633,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.155324,55.13,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.279338,68.03,3,18,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.539746,55.12,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.190449,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.504395,56.08,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.88351,55.15,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.004599,68.04,3,18,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.185891,55.05,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.483556,51.12,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.745937,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.124893,51.13,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.20317,51.15,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.194803,58.1,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.444803,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.650154,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.88859,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.46927,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.58673,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.720154,56.03,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.646095,55.29,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.810018,56.04,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.985528,55.12,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.300608,53.15,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.607342,55.45,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.740789,56.03,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.966118,55.07,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.275007,53.14,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.564757,51.26,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
