time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.012046,67.01,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.659983,67.01,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.536445,57.06,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.779915,59.07,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.248758,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.676173,65.98,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.432386,65.98,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.677171,66.0,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.885039,67.02,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.066219,65.96,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.080708,65.98,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.377307,63.97,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.096922,62.01,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.639688,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.835516,59.12,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.070935,58.14,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.418418,60.08,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.773225,58.14,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.011638,59.14,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.240096,61.16,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.716241,61.99,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.174994,64.0,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.6425,63.96,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.761434,66.01,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.523044,66.0,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.776264,65.96,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.158486,65.98,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.442931,64.1,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.385856,66.93,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.866785,65.94,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.031411,66.61,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.056468,64.16,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.209507,62.15,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.530436,61.1,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.963452,59.13,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.392772,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.615992,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.070776,54.07,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.793384,57.06,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.239144,61.12,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.58928,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.921434,62.14,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
