time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.004402,49.0,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.005127,59.15,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.005853,63.93,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.368189,64.06,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.369413,49.1,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.373994,59.13,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.903517,63.99,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.904039,49.13,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.904969,59.05,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.249549,42.13,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.252134,61.08,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.255762,52.08,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.256488,58.17,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.644855,42.17,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.646533,61.03,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.647032,58.17,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.648483,51.92,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.981885,42.23,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.98676,58.15,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.986964,61.05,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.989867,52.06,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.190298,42.14,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.190479,61.06,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
