time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.009394,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.01012,59.01,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.018124,59.04,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.041888,62.1,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.298487,57.04,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.769961,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.299054,52.14,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.53309,50.17,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.302523,50.21,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.708328,57.04,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.110528,55.18,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.819734,55.16,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.043884,55.18,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.143929,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.295494,54.13,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.790415,54.1,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.286288,47.17,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.338646,47.26,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.593725,47.26,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.820074,50.15,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.140732,48.08,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.090346,48.21,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.363022,48.22,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.589961,48.18,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.840256,52.07,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.370573,50.15,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.863771,50.31,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.361027,50.24,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.850777,54.05,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.396492,52.14,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
