time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.008737,53.89,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.008737,64.04,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.017445,60.15,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.463114,50.12,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.467377,64.02,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.47105,54.19,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.471731,60.13,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.912842,64.04,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.917921,60.13,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.920824,54.12,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.923182,50.08,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.37944,50.15,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.380869,60.14,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.381595,53.89,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.385903,64.01,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.771118,50.11,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.846039,64.04,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.848941,53.99,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.853953,60.15,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.312638,50.13,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.314792,53.96,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.319826,60.14,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.323431,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.789304,50.08,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.797241,54.14,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.804701,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.805427,60.14,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.245132,50.16,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.252955,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.260937,60.14,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.263839,50.61,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.544701,45.07,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.702252,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.703273,54.84,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.707332,60.14,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
