time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.012176,50.99,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.041609,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.04306,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.045078,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.694398,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.700203,62.13,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.700929,51.0,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.703831,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.896779,51.0,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.904013,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.912629,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.913355,62.14,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.148729,64.85,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.15018,50.84,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.16204,57.82,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.163877,62.14,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.581224,65.39,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.581382,46.2,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.582675,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.583559,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.982176,65.06,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.98653,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.990158,46.15,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.992335,57.15,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.60399,46.17,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.607142,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.607142,65.06,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.612221,57.16,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.005532,64.95,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.008888,46.32,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.010611,62.1,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.011337,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.14043,50.14,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.47501,67.03,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
