time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.274531,55.15,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.346639,70.06,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.681855,70.09,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.051741,68.04,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.374644,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.64215,67.08,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.090812,67.09,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.456027,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.183442,70.05,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.49224,70.05,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.848091,68.03,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.223125,68.03,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.585664,67.04,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.943714,67.05,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.083669,68.08,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.28385,70.08,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.639315,66.85,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.753896,68.19,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.726141,64.78,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.051787,63.12,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.433397,58.2,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.450313,63.0,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.526934,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.81351,58.14,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.976435,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.13342,58.18,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.149633,63.07,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.240018,60.13,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.426662,63.07,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.456163,58.19,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.551878,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.209859,58.14,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.327683,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.508431,58.19,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.523102,63.06,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.610676,60.18,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.934122,66.01,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.234145,66.94,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.953986,67.94,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.184871,66.98,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.357501,68.01,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.479338,67.18,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.26283,65.0,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.660608,64.09,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.759905,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.897705,66.38,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.063079,65.14,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.198884,67.09,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.349746,68.05,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.38707,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.52995,70.08,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.81351,70.05,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.916481,72.0,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.784871,72.02,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.978544,72.03,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.130132,71.01,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.345347,72.0,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.538295,72.03,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.731243,72.01,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.923465,71.03,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.054009,72.0,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.254939,72.02,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.455143,74.11,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.683397,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.575256,72.07,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.741356,73.12,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.784009,73.08,1,14,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.125279,72.08,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.601039,70.1,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.823873,68.01,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.284122,70.04,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.440789,69.22,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.96351,63.13,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.02385,61.13,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.264236,59.15,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.358499,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.628249,63.0,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.939293,68.12,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.67537,58.19,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
