time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.008569,61.1,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.009725,65.06,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.010451,49.04,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.320201,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.478365,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.63417,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.787231,65.12,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.931131,61.22,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.164487,68.07,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.171698,65.11,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.180859,49.08,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.50061,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.66138,61.16,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.834487,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.975848,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.141267,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.415666,49.06,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.424011,65.08,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.734759,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.852197,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.059476,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.341063,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.614374,49.08,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.627616,67.98,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.929476,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.07231,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.216573,56.18,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.399204,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.514011,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.827752,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.82875,49.09,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.129362,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.169702,65.07,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.274079,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.440201,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.569816,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.723966,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.004895,49.07,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.00875,67.86,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.338954,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.469816,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.617707,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.762424,65.1,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.928569,61.12,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.21138,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.213557,49.06,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.526052,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.675848,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.822764,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.968183,65.12,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.136052,61.16,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.402106,68.08,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.409294,49.12,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.677956,49.08,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.870201,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.100088,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.187299,65.11,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.315099,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.415893,55.15,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.417548,45.19,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.574941,49.22,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.646777,42.17,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.665281,58.19,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.959294,54.08,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.085417,58.17,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.256551,54.1,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.549884,58.19,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.792922,42.14,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.817117,66.08,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.125326,54.11,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.273875,58.2,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.441993,54.14,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.570133,60.78,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.721018,58.21,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.030405,42.18,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.040133,61.15,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.047752,58.2,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.348433,54.11,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.475666,58.2,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.63417,54.09,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.760859,61.01,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.928433,58.21,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.207911,42.17,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.219612,66.08,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.5446,54.1,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.663036,58.21,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.811653,54.09,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.108637,58.15,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.450133,65.0,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.455848,49.05,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.794079,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.86002,61.24,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.068319,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.176301,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.347503,61.16,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.615462,68.07,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.623648,49.1,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.942922,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.080655,61.17,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.245621,56.19,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.356505,65.12,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.50578,61.17,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.525893,56.2,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.822424,65.12,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.835938,49.11,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.143331,65.14,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.148954,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.291789,61.19,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.422106,56.19,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.571902,65.18,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.716256,61.16,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.017231,68.05,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.034555,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.040201,45.11,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.172197,51.2,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.246142,44.15,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.531789,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.654941,60.15,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.803716,56.19,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.09909,60.15,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.414555,44.16,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.427707,68.04,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.760405,56.18,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.900405,60.16,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.053761,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.636664,42.13,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.941993,54.12,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.075462,58.18,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.234691,54.14,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.52324,58.18,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.804895,42.17,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.815303,66.06,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.144487,54.15,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.282945,58.2,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.428682,54.18,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.583557,61.28,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.719408,58.18,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.064805,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.066981,49.21,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.35553,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.447027,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.448727,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.639362,56.39,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.767752,65.07,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.913761,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.182718,49.09,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.182718,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.511335,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.648365,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.841857,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.973353,65.08,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.101585,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.425848,49.1,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.432106,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.721993,65.05,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.741335,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.855848,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.013648,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
