time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.005319,49.09,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.00677,64.02,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.444707,59.13,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.735183,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.887269,59.15,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.124162,49.11,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.138788,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.554775,59.14,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.922507,64.21,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.021487,59.14,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.135341,55.15,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.152462,40.37,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.261963,42.2,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.287564,61.05,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.289831,58.18,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.508357,52.14,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.661237,58.16,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.796589,52.06,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.958199,61.07,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.05101,61.08,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.127201,58.17,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.375704,42.18,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.382394,61.06,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.641849,52.15,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.933029,52.15,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.516543,47.1,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.523868,63.11,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.78872,54.11,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.871419,63.21,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.960625,58.18,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.075954,54.19,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.233981,63.25,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.365636,58.18,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.612054,47.08,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.621555,63.22,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.889083,54.15,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.051419,58.19,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.224004,54.1,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.352144,63.32,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.494752,57.68,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.573777,55.13,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.722756,52.15,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.75058,40.25,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.753595,59.05,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.996793,59.08,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.037405,52.09,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.164412,58.11,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.313663,52.1,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.441804,59.06,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.447564,58.1,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.549128,59.06,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.850557,59.05,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.861419,40.12,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.157722,52.1,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.248312,59.07,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
