time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.009081,46.18,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.015,58.1,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.246405,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.478514,61.13,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.727947,65.06,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.937358,61.13,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.189535,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.426111,46.19,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.525839,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.870578,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.09856,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.333004,61.13,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.645589,51.09,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.705045,67.11,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.830555,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.043866,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.256292,61.2,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.470056,67.15,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.685272,61.18,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.928151,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.134886,51.06,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.355068,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.572301,61.2,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.788242,67.17,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.031235,61.2,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.485839,44.29,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.615861,63.14,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.724954,55.13,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.933752,60.18,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.141235,63.11,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.406836,60.16,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.65187,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.867811,44.27,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.109966,55.11,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.331576,60.16,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.5567,63.15,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.766814,63.15,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.76992,60.15,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.220805,49.09,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.440963,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.673208,60.13,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.898333,65.15,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.132755,60.16,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.37636,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.589376,49.08,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.809557,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.035408,60.16,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.231394,65.18,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.470759,60.18,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.872097,43.29,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.949671,43.29,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.171734,53.25,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.381394,58.19,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.589444,61.14,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.828718,58.18,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.070238,53.19,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.303956,43.34,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.550328,53.17,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.789716,58.16,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.993571,61.17,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.219399,58.17,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
