time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.008141,48.12,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.008866,60.12,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.009433,40.05,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.202834,48.12,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.209342,40.03,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.343583,52.08,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.405828,60.09,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.503946,55.12,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.529592,40.05,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.616508,52.19,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.78127,60.12,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.86102,40.05,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.941769,55.13,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.062744,48.64,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.220136,48.09,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.231882,60.1,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.43805,48.22,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.553673,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.658594,55.15,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.815873,52.17,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.81898,48.18,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.994286,60.11,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.16263,55.14,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.476417,43.21,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.479909,60.12,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.782948,50.06,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.889252,55.14,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.077551,50.08,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.240113,60.15,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.407914,55.13,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.514467,43.14,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.684195,43.12,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.687982,59.03,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.00322,50.07,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.299138,50.09,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.472426,59.05,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.712562,42.32,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.910975,45.05,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.917415,60.22,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.919569,40.16,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.919592,59.08,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.282177,45.2,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.418277,57.15,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.726984,60.19,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.865261,57.17,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.009977,45.17,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.128912,45.06,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.133288,40.15,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.1339,60.16,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.435601,52.1,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.596122,57.16,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.660567,40.07,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.661519,45.11,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.765374,52.1,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.906304,60.2,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
