time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
1.01889,65.96,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.639615,65.93,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.22186,68.05,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.291248,67.98,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.695375,68.03,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.316101,65.94,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.906645,69.98,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.360092,70.97,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.694649,72.97,1,14,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.978073,70.9,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.233176,69.92,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.531271,67.91,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.783448,68.09,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.212132,70.9,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.836282,60.98,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.057053,60.98,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.685556,64.97,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.061498,67.98,2,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.345851,60.98,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.705851,58.96,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.938686,62.98,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.11567,65.95,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.339185,66.02,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.366554,60.93,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.521021,59.18,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.769956,58.99,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.957733,58.96,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
