time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.908551,72.97,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.518257,75.96,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.329504,71.19,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.105014,67.96,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.210864,65.92,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.421137,67.82,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.692633,67.95,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.038665,69.04,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.231635,61.12,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.398007,61.05,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.788642,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.178937,57.03,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.326873,59.05,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.498007,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.645241,62.01,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.803336,64.0,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.982338,65.93,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.173087,67.92,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.466102,68.93,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.077123,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.559617,68.9,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.894334,68.07,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.51261,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.691046,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.834651,63.98,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.033563,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.324561,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.423177,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.666941,57.02,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.499708,57.05,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.811635,61.01,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.100343,64.01,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.428234,69.04,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.732724,71.0,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.030093,71.01,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.428415,68.03,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.903449,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.32803,59.0,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.535762,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.310547,59.0,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.470116,60.99,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.722542,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.949028,63.99,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.148506,66.0,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.397463,66.1,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.22871,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.560728,56.02,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.740615,57.01,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.979096,59.03,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.237826,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.480706,61.98,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.74803,61.01,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.09769,57.02,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.10354,54.08,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.28778,52.05,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.52481,54.03,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
36.333654,50.09,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
36.520796,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
