time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.007897,51.0,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.00801,54.02,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.008622,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.009348,61.05,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.510504,51.01,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.51767,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.524926,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.529053,64.99,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.042545,51.07,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.051479,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.057284,61.04,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.063248,65.0,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.582205,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.589371,54.08,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.596332,61.04,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.601706,65.0,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.014541,50.2,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.123906,44.15,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.148713,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.158645,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.164337,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.689098,44.12,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.706876,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.71606,60.05,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.721321,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.115606,50.08,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.253112,44.2,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.608327,54.04,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.61123,60.06,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.613293,64.01,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.618486,67.03,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.339212,49.08,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.348486,53.0,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.358645,60.09,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.363475,62.96,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.862024,49.02,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.872659,53.01,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.881978,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.884767,62.99,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.431797,49.07,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.438554,53.06,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.449439,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.455538,62.96,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.990051,49.04,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.996763,52.99,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.003883,60.08,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.008123,62.99,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.558146,42.15,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.897058,52.03,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.904314,58.06,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.907398,63.04,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.405924,42.19,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.594382,52.04,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.599756,58.09,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.601683,63.06,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.115901,42.19,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.127761,52.04,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.132999,58.07,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.138078,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.690663,41.9,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.699983,48.06,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.717012,54.04,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.724881,58.08,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.734949,63.02,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.228373,42.05,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.238282,48.06,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.243974,54.04,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.249529,58.04,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.256355,63.0,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.775153,41.99,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.787987,48.05,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.796854,54.04,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.798781,57.99,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.806876,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.325697,41.75,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.333838,48.07,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.342296,54.07,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.348101,58.06,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.354405,63.04,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.239234,53.06,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.243021,57.02,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.250776,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.255856,65.94,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.771888,53.03,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.784246,57.03,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.789824,63.03,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.795493,65.97,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.321842,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.466332,53.06,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.477942,57.05,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.485765,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.491366,65.05,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.051366,46.2,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.068894,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.086083,60.95,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.388826,46.23,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.399461,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.405017,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.40708,64.97,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.903815,46.18,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.122409,46.19,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.136241,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.141071,61.04,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.145901,64.97,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.679393,46.2,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.693792,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.700073,61.05,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.703588,65.0,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.254155,46.15,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.278463,56.08,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.295493,62.05,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.630051,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.636037,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.640141,65.99,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.169869,46.14,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.198532,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.361366,46.12,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.368259,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.373838,62.01,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.378237,66.01,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.86962,46.13,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.883747,56.04,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.887987,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.892931,66.0,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.240822,55.04,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.402727,51.14,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.413248,54.1,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.42216,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.425584,64.99,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.973203,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.983407,54.03,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.989212,61.04,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.994042,65.01,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.518055,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.525244,54.03,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.5325,61.04,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.536717,64.99,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.079529,51.01,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.083634,54.03,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.092228,61.04,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.094994,64.96,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.490867,50.02,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.645652,44.1,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.658418,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.668055,60.05,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.672296,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.170436,44.12,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.192976,54.06,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.197806,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.202636,65.04,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.740844,44.15,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.764087,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.770867,60.08,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.784654,64.01,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.256808,44.16,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.269484,54.02,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.276491,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.280119,64.02,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.61318,55.03,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.805629,49.05,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.812046,53.02,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.824246,60.08,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.827647,62.95,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.338395,49.02,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.351207,53.06,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.357488,60.05,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.364019,62.99,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.905244,49.09,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.913157,53.05,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.924042,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.928758,62.95,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.445742,49.04,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.455221,53.04,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.4603,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.465992,62.95,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.000073,42.15,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.021956,53.09,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.027897,58.07,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.033452,61.05,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.541434,42.17,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.554835,53.08,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.561729,58.07,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.564042,61.06,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.085538,42.18,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.114495,53.03,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.130459,58.06,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.449166,42.08,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.459801,52.98,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.466944,58.05,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.468872,61.04,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.973225,47.12,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.979507,53.09,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.987352,57.11,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.995221,62.05,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.177012,58.11,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.178736,62.98,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.230708,48.06,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.233611,54.04,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.516491,47.86,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.528826,54.0,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.531479,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.537171,62.94,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.079597,48.09,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.10098,54.01,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.252228,48.08,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.25547,54.04,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.265357,58.04,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.268872,63.06,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.782001,48.09,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.790278,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.795946,58.05,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.799461,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.314677,53.04,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.33318,56.98,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.679937,52.99,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.683566,57.06,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.690572,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.695538,65.98,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.206899,53.0,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.215357,57.05,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.221049,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.225992,65.96,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.81606,56.6,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.915176,40.03,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.917761,53.09,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
