time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.007112,45.18,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.00811,52.05,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.008518,57.16,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.009561,61.04,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.196069,45.16,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.198246,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.199266,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.207225,51.97,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.436999,45.19,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.447429,51.99,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.454255,57.14,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.461103,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.653507,52.0,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.654686,45.15,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.657996,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.668473,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.903597,45.15,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.909221,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.915479,51.99,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.93201,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.131466,45.11,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.138268,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.144799,52.02,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.148745,61.01,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.375185,45.13,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.380808,57.14,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.385615,51.99,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.391284,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.582849,45.12,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.58938,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.601307,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.605615,52.0,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.815661,45.19,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.821012,61.01,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.82362,57.17,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.825366,52.02,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.037135,45.22,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.043121,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.048291,51.99,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.07099,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.283869,45.22,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.28879,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.292123,51.99,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.299266,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.511965,45.14,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.517135,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.530513,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.531829,51.99,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.749674,45.21,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.758654,52.04,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
