time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.009289,69.01,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.433348,66.95,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.907838,67.18,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.57659,64.11,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.668677,62.05,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.814459,63.96,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.289606,61.86,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.528745,60.0,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.623008,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.004028,57.04,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.235751,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.658337,55.21,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.120581,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.593643,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.84489,57.03,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.026228,60.04,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.121942,60.98,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.302055,57.02,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.654323,57.01,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.907951,61.95,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.102055,66.92,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.357588,69.31,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.068337,66.13,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.440717,68.92,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.888359,72.06,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.113144,68.92,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.337112,68.96,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.577566,67.02,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.036908,67.22,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.530173,63.84,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.725298,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.017702,62.06,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.249674,64.02,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.68235,60.06,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.91811,60.99,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.141715,57.01,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.362645,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.600151,57.06,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.517452,50.07,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.757361,52.01,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.981874,56.02,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.217475,59.06,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.426114,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.693393,63.98,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.36142,66.09,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.660445,67.07,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.934187,69.12,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.277996,66.15,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.976568,61.97,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.150649,60.04,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.423461,61.05,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.672033,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.90591,61.09,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.12201,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.360922,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.820355,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.047225,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.294141,61.01,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.75845,68.99,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.982577,64.06,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
