time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.663492,70.22,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.101406,67.01,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.321995,64.95,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.529184,64.0,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.717052,64.18,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.12161,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.538141,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.723152,63.95,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.977143,59.99,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.201565,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.030204,57.03,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.243356,60.02,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.467392,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.796939,65.09,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.494694,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.704127,59.99,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.913946,58.08,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.150612,59.99,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.324785,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.543401,54.96,4,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.968118,58.01,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.189388,62.01,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.383787,64.99,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.535896,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.813968,65.15,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.119592,64.0,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.21458,64.55,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.37195,62.36,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.454603,61.32,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.534354,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.731995,57.06,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.885034,55.11,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.144331,52.99,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.570091,50.07,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.793401,50.05,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.99941,50.07,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.650023,50.1,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.859546,53.06,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.098753,57.63,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.291156,61.01,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.486463,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.680317,69.05,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.083651,66.97,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.276667,65.2,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.519751,67.16,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.954603,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.164263,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.384535,65.25,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.604943,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.489909,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.635669,63.93,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.903492,67.05,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.26483,70.04,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.413016,68.99,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.701655,66.95,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.315147,68.95,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.522132,63.98,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.75127,64.02,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.954603,62.01,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.152948,59.99,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.386712,58.01,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
