time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
3.191801,54,3,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
3.191801,50,4,5,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
3.793273,47,4,2,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
4.328009,59,1,0,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
4.915401,55,2,0,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
4.915401,52,4,7,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
5.578740,49,4,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
6.130451,59,1,0,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
6.732337,54,3,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
6.732337,50,4,5,1,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
7.403542,47,4,2,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
7.953868,59,1,0,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
8.513363,55,2,0,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
8.513363,52,4,7,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
9.138815,49,4,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
9.702081,59,1,0,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
10.294813,54,3,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
10.294813,50,4,5,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
10.990585,47,4,2,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
11.533209,59,1,0,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
12.100696,52,3,2,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
12.100696,49,4,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
12.705707,57,2,2,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
13.320261,55,3,5,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
13.978982,54,3,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
13.978982,50,4,5,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
14.607815,55,3,5,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
15.120684,52,3,2,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
15.739953,54,3,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
15.739953,49,4,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
16.329335,58,2,3,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
16.936652,61,1,2,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
17.589589,66,0,2,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
17.589589,38,5,0,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
18.182796,54,3,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
18.734351,66,0,2,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
19.296575,62,1,3,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
19.296575,59,2,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
19.998571,66,0,2,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
20.562163,62,1,3,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
21.133772,64,0,0,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
21.133772,40,5,2,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
21.762285,55,2,0,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
22.367351,64,0,0,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
22.932679,61,1,2,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
22.932679,59,2,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
23.571326,64,0,0,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
24.144845,61,1,2,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
24.758073,62,1,3,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
24.758073,42,5,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
25.380281,54,3,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
25.982392,62,1,3,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
26.573881,59,1,0,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
27.125283,71,1,12,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
27.754093,67,2,12,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
28.432851,64,1,5,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
28.432851,59,2,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
28.432851,49,4,4,0,0,0,0,0,0,"E4,B3,G3,D3,A2,D2"
