time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
2.019386,72,0,8,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
2.332743,71,0,7,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
2.623431,70,0,6,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
2.951674,69,0,5,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
3.238532,67,1,8,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
3.520894,66,1,7,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
3.824929,65,1,6,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
4.139015,64,1,5,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
4.414204,63,2,8,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
4.741041,62,2,7,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
5.030729,61,2,6,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
5.342704,60,2,5,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
5.672658,58,3,8,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
5.961367,57,3,7,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
6.276139,56,3,6,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
6.565224,55,3,5,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
6.860278,53,4,8,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
7.148987,52,4,7,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
7.469422,51,4,6,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
7.768707,50,4,5,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
8.092315,48,5,8,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
8.372564,47,5,7,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
8.686654,46,5,6,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
9.027182,45,5,5,0,0,0,0,0,0,"E4,B3,G3,D3,A2,E2"
